belt speed m/s,Motor temperature ℃,Motor current A,Drum temperature ℃,Belt tension MP,BELT RUNNIG STATUS
4.22,51.9,209.4,58.5,14,broken belt
3.32,51.7,209.7,58.2,14,broken belt
4.25,90.2,209.7,60.7,12,mistracking
4.2,52.9,210.4,58.2,14,broken belt
3.2,52.6,209.7,61.4,14,mistracking
3.23,52.4,210.6,60.7,14,normal
3.3,52.1,209.8,60.7,14,normal
4.19,51.6,210.3,59.6,14,high temperature
4.22,51.9,275.4,58.5,19,mistracking
4.28,52.1,285.6,60.7,20,broken belt
3.67,52.7,220.4,58.5,10,slip
4.23,52.2,210.2,58.5,14,mistracking
4.26,91.5,209.4,61.4,11,broken belt
2.65,52.8,254.4,58.5,9,broken belt
3.21,52.6,211.3,58.2,14,slip
4.28,52.4,266.4,60.7,23,slip
